trade_id,signal_type,entry_datetime,exit_datetime,entry_price,exit_price,exit_type,size,pnl,return_pct,outcome,sl_level,tp_level,risk_amount,reward_amount,rr_ratio,account_balance,commission
1,SELL,2024-01-02 01:59:00,2024-01-02 02:08:00,2066.536,2064.121,TP,4,9.659999999999854,0.11686222741824791,WIN,2068.951,2064.121,9.659999999999854,9.659999999999854,1.0,99993.13737200001,0.0
2,SELL,2024-01-02 04:55:00,2024-01-02 05:12:00,2069.032,2070.346,SL,4,-5.255999999999403,-0.063507959277568,LOSS,2070.346,2067.7180000000003,5.255999999999403,5.255999999999403,1.0,99971.32386,0.0
3,SELL,2024-01-02 07:04:00,2024-01-02 09:34:00,2074.185,2076.639,SL,4,-9.816000000000713,-0.11831152958873863,LOSS,2076.639,2071.691,9.816000000000713,9.976000000000568,1.0162999185003916,99944.90456400001,0.0
4,SELL,2024-01-02 10:14:00,2024-01-02 11:34:00,2074.966,2071.055,TP,4,15.644000000000233,0.1884850161400263,WIN,2078.877,2071.055,15.644000000000233,15.644000000000233,1.0,99943.96448000001,0.0
5,SELL,2024-01-02 13:54:00,2024-01-02 14:42:00,2066.906,2062.794,TP,4,16.44800000000032,0.19894470285538288,WIN,2071.018,2062.794,16.44800000000032,16.44800000000032,1.0,99943.89368,0.0
6,SELL,2024-01-02 14:42:00,2024-01-02 14:52:00,2063.33,2070.016,SL,4,-26.744000000000597,-0.3240392957016158,LOSS,2070.016,2056.644,26.744000000000597,26.744000000000597,1.0,99900.61629599998,0.0
7,SELL,2024-01-02 15:16:00,2024-01-02 15:37:00,2065.091,2059.349,TP,4,22.967999999998938,0.2780507009134094,WIN,2070.709,2059.349,22.471999999999753,22.967999999998938,1.0220719117123171,99907.08653599997,0.0
8,SELL,2024-01-02 17:18:00,2024-01-02 20:28:00,2063.229,2059.4530000000004,TP,4,15.10399999999754,0.1830141007129788,WIN,2066.919,2059.4530000000004,14.760000000000218,15.10399999999754,1.023306233062149,99905.69980799996,0.0
9,SELL,2024-01-03 01:24:00,2024-01-03 01:52:00,2060.123,2062.127,SL,4,-8.015999999999622,-0.09727574518608381,LOSS,2062.127,2058.119,8.015999999999622,8.015999999999622,1.0,99881.19480799996,0.0
10,SELL,2024-01-03 03:20:00,2024-01-03 05:37:00,2063.639,2065.541,SL,4,-7.608000000000175,-0.09216728313431001,LOSS,2065.541,2061.737,7.608000000000175,7.608000000000175,1.0,99857.07008799995,0.0
11,SELL,2024-01-03 05:55:00,2024-01-03 07:14:00,2064.027,2062.072,TP,4,7.819999999999709,0.09471775320768222,WIN,2065.982,2062.072,7.819999999999709,7.819999999999709,1.0,99848.38569199995,0.0
12,SELL,2024-01-03 08:23:00,2024-01-03 08:28:00,2061.77,2059.1639999999998,TP,4,10.424000000000888,0.12639625176427158,WIN,2064.376,2059.1639999999998,10.424000000000888,10.424000000000888,1.0,99842.32595599996,0.0
