date,start_value,end_value,daily_pnl,daily_return_pct,trades_executed,positions_open,drawdown_pct
2024-06-17,87093.31459399962,86929.25313499958,-164.0614590000332,-0.18837434281245782,811,0,13.062888143261397
2024-06-18,86929.25313499958,86852.21213299957,-77.04100200001267,-0.08862494410295849,816,1,13.153441645851585
2024-06-19,86852.21213299957,86807.61147499955,-44.60065800002485,-0.05135235695750206,819,1,13.19851921105675
2024-06-20,86807.61147499955,86651.34496999957,-156.26650499997777,-0.18001475025606742,825,1,13.349073406131886
2024-06-21,86651.34496999957,86609.65961599955,-41.68535400001565,-0.0481069901620661,829,1,13.394553666508054
2024-06-23,86609.65961599955,86606.27535199956,-3.3842639999929816,-0.003907490244157247,830,0,13.394553666508054
2024-06-24,86606.27535199956,86479.56687199956,-126.70848000000115,-0.1463040403077162,836,1,13.531126129365436
2024-06-25,86479.56687199956,86330.25132799956,-149.31554399999732,-0.17265991193156965,847,1,13.672266382819764
2024-06-26,86330.25132799956,86230.36676599956,-99.88456200000655,-0.115700534243216,856,1,13.782845717185555
2024-06-27,86230.36676599956,86167.09126999955,-63.27549600000202,-0.0733795974354494,858,1,13.83493410595849
2024-06-28,86167.09126999955,86056.79893699952,-110.29233300003398,-0.12799820833505843,868,0,13.94337821571982
2024-06-30,86056.79893699952,86052.60930199952,-4.189635000002454,-0.004868453221307479,868,1,13.954701827409496
2024-07-01,86052.60930199952,85943.25720799952,-109.35209400000167,-0.12707586078678124,877,0,14.056919710987845
2024-07-02,85943.25720799952,85829.09467999951,-114.16252800000075,-0.13283476995025342,884,1,14.171745002613093
2024-07-03,85829.09467999951,85706.73894499952,-122.35573499999009,-0.14255741069642466,889,1,14.29792847785684
2024-07-04,85706.73894499952,85507.32644599947,-199.4124990000564,-0.23266840093872332,901,1,14.494496572209666
2024-07-05,85507.32644599947,85345.14587899945,-162.18056700001762,-0.18966862108879018,909,1,14.663018792296587
2024-07-07,85345.14587899945,85345.12930999945,-0.01656899999943562,-1.941410941276824e-05,910,0,14.663018792296587
2024-07-08,85345.12930999945,85244.90931799947,-100.2199919999839,-0.11742907042293467,917,0,14.755266163399819
2024-07-09,85244.90931799947,85111.88525599946,-133.02406200001133,-0.15604927386781006,926,0,14.888289951562381
2024-07-10,85111.88525599946,84982.61084899942,-129.27440700003353,-0.15188760842413734,933,1,15.022743845781008
2024-07-11,84982.61084899942,84848.67497899942,-133.93587000000116,-0.15760385408490674,940,1,15.166868655091431
2024-07-12,84848.67497899942,84757.98278599943,-90.69219299999531,-0.10688698794936068,947,0,15.244171625958645
2024-07-14,84757.98278599943,84757.98278599943,0.0,0.0,947,0,15.244171625958645
