trade_id,signal_type,entry_datetime,exit_datetime,entry_price,exit_price,exit_type,size,pnl,return_pct,outcome,sl_level,tp_level,risk_amount,reward_amount,rr_ratio,account_balance,commission
1,SELL,2024-11-01 02:22:00,2024-11-01 03:42:00,2747.437,2750.956,SL,3,-10.557000000000698,-0.128083009728712,LOSS,2750.956,2743.9179999999997,10.557000000000698,10.557000000000698,1.0,99972.94782100001,0.0
2,SELL,2024-11-01 06:29:00,2024-11-01 07:39:00,2752.9149999999995,2748.17,TP,3,14.234999999998308,0.17236275003040183,WIN,2757.66,2748.17,14.235000000001037,14.234999999998308,0.9999999999998084,99970.679566,0.0
3,SELL,2024-11-01 09:31:00,2024-11-01 09:36:00,2752.735,2749.958,TP,3,8.331000000000131,0.10088148695751838,WIN,2755.48,2749.958,8.234999999999673,8.331000000000131,1.011657559198599,99962.502487,0.0
4,SELL,2024-11-01 12:22:00,2024-11-01 12:30:00,2750.474,2754.115,SL,3,-10.922999999998865,-0.13237718298735496,LOSS,2754.115,2746.8330000000005,10.922999999998865,10.922999999998865,1.0,99935.06572000001,0.0
5,SELL,2024-11-01 13:31:00,2024-11-01 14:42:00,2752.414,2742.5740000000005,TP,3,29.519999999999072,0.3575043579926454,WIN,2762.254,2742.5740000000005,29.519999999999072,29.519999999999072,1.0,99948.10075600001,0.0
6,SELL,2024-11-01 15:44:00,2024-11-01 15:53:00,2746.562,2742.854,TP,3,11.124000000000251,0.13500514461352353,WIN,2750.27,2742.854,11.124000000000251,11.124000000000251,1.0,99942.756508,0.0
7,SELL,2024-11-01 19:00:00,2024-11-01 20:57:00,2735.098,2736.69,SL,3,-4.776000000000295,-0.05820632386847193,LOSS,2738.023,2732.173,8.775000000000546,8.775000000000546,1.0,99929.775214,0.0
